timestamp,person,mac,action,hour,day_of_week,stay_duration_min,rssi,people_inside,is_anomaly
2025-02-01 08:01:48,Prof,aa:bb:cc:dd:ee:02,ENTER,8,5,138,-60,1,0
2025-02-01 10:19:48,Prof,aa:bb:cc:dd:ee:02,EXIT,10,5,138,-45,0,0
2025-02-01 22:33:55,UNKNOWN,ff:58:17:55:33:50,UNAUTHORIZED,22,5,0,-65,0,1
2025-02-03 14:54:32,Hardik,79:47:0e:74:97:a1,ENTER,14,0,63,-52,1,0
2025-02-03 15:04:52,Prof,aa:bb:cc:dd:ee:02,ENTER,15,0,112,-57,2,0
2025-02-03 15:57:32,Hardik,79:47:0e:74:97:a1,EXIT,15,0,63,-46,1,0
2025-02-03 16:56:52,Prof,aa:bb:cc:dd:ee:02,EXIT,16,0,112,-51,0,0
2025-02-04 09:52:57,Hardik,79:47:0e:74:97:a1,ENTER,9,1,79,-48,1,0
2025-02-04 11:11:57,Hardik,79:47:0e:74:97:a1,EXIT,11,1,79,-61,0,0
2025-02-04 12:30:42,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,12,1,61,-58,1,0
2025-02-04 13:31:42,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,13,1,61,-56,0,0
2025-02-05 10:00:18,Prof,aa:bb:cc:dd:ee:02,ENTER,10,2,145,-60,1,0
2025-02-05 12:25:18,Prof,aa:bb:cc:dd:ee:02,EXIT,12,2,145,-62,0,0
2025-02-05 14:46:40,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,14,2,66,-54,1,0
2025-02-05 15:52:40,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,15,2,66,-65,0,0
2025-02-05 16:44:14,Hardik,79:47:0e:74:97:a1,ENTER,16,2,99,-49,1,0
2025-02-05 18:23:14,Hardik,79:47:0e:74:97:a1,EXIT,18,2,99,-60,0,0
2025-02-06 10:23:39,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,10,3,61,-64,1,0
2025-02-06 11:24:39,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,11,3,61,-51,0,0
2025-02-06 14:06:22,Hardik,79:47:0e:74:97:a1,ENTER,14,3,90,-56,1,0
2025-02-06 15:36:22,Hardik,79:47:0e:74:97:a1,EXIT,15,3,90,-56,0,0
2025-02-06 15:53:18,Prof,aa:bb:cc:dd:ee:02,ENTER,15,3,125,-45,1,0
2025-02-06 17:58:18,Prof,aa:bb:cc:dd:ee:02,EXIT,17,3,125,-65,0,0
2025-02-07 10:23:01,Ekaansh,aa:bb:cc:dd:ee:01,ENTER,10,4,60,-59,1,0
2025-02-07 11:23:01,Ekaansh,aa:bb:cc:dd:ee:01,EXIT,11,4,60,-48,0,0
2025-02-07 14:16:50,Hardik,79:47:0e:74:97:a1,ENTER,14,4,85,-49,1,0
2025-02-07 15:41:50,Hardik,79:47:0e:74:97:a1,EXIT,15,4,85,-47,0,0
2025-02-08 02:28:39,UNKNOWN,ff:5e:2c:15:54:2b,UNAUTHORIZED,2,5,0,-59,0,1
2025-02-08 10:45:40,Prof,aa:bb:cc:dd:ee:02,ENTER,10,5,131,-63,1,0
2025-02-08 12:56:40,Prof,aa:bb:cc:dd:ee:02,EXIT,12,5,131,-53,0,0
2025-02-10 08:17:35,Prof,aa:bb:cc:dd:ee:02,ENTER,8,0,109,-63,1,0
2025-02-10 10:06:35,Prof,aa:bb:cc:dd:ee:02,EXIT,10,0,109,-59,0,0
